,0,4,6,8,10,15,20,25,30,35
0.5,1.348,1.229,1.189,1.163,1.147,1.124,1.112,1.104,1.096,1.098
1,1.301,1.202,1.171,1.15,1.139,1.119,1.108,1.099,1.093,1.088
2,1.22,1.156,1.135,1.119,1.111,1.09,1.086,1.08,1.075,1.07
3,1.139,1.104,1.09,1.08,1.075,1.065,1.059,1.054,1.05,1.047
4,1.067,1.054,1.047,1.041,1.038,1.033,1.03,1.027,1.025,1.024
5,1,1,1,1,1,1,1,1,1,1
6,0.935,0.948,0.952,0.954,0.957,0.962,0.96,0.967,0.969,0.97
7,0.876,0.896,0.903,0.9,0.913,0.923,0.93,0.936,0.94,0.943
8,0.819,0.843,0.853,0.861,0.869,0.884,0.894,0.902,0.908,0.911
9,0.77,0.796,0.806,0.816,0.827,0.846,0.859,0.869,0.877,0.882
10,0.72,0.748,0.76,0.771,0.784,0.808,0.824,0.836,0.846,0.854
11,0.676,0.704,0.717,0.73,0.744,0.77,0.789,0.803,0.815,0.823
12,0.632,0.661,0.674,0.689,0.703,0.733,0.754,0.77,0.783,0.793
13,0.595,0.623,0.638,0.653,0.668,0.7,0.723,0.74,0.754,0.765
14,0.558,0.586,0.601,0.617,0.633,0.667,0.692,0.71,0.725,0.738
15,0.52,0.549,0.565,0.581,0.598,0.634,0.66,0.68,0.696,0.71
16,0.491,0.52,0.536,0.552,0.569,0.606,0.633,0.653,0.67,0.684
17,0.462,0.491,0.507,0.523,0.54,0.577,0.605,0.627,0.644,0.658
18,0.433,0.462,0.478,0.494,0.511,0.549,0.578,0.6,0.619,0.633
19,0.404,0.433,0.449,0.465,0.483,0.521,0.551,0.574,0.593,0.607
20,0.375,0.404,0.42,0.436,0.454,0.493,0.523,0.547,0.567,0.581
21,0.354,0.383,0.39,0.414,0.431,0.47,0.501,0.525,0.545,0.56
22,0.333,0.36,0.375,0.391,0.408,0.447,0.478,0.503,0.523,0.539
23,0.312,0.339,0.353,0.369,0.386,0.425,0.455,0.481,0.502,0.517
24,0.292,0.317,0.331,0.346,0.363,0.402,0.433,0.459,0.48,0.496
25,0.271,0.295,0.309,0.324,0.34,0.379,0.41,0.437,0.458,0.474
26,0.256,0.279,0.292,0.307,0.323,0.361,0.392,0.418,0.439,0.455
27,0.24,0.263,0.276,0.29,0.306,0.343,0.373,0.399,0.42,0.436
28,0.225,0.247,0.26,0.274,0.289,0.325,0.355,0.38,0.401,0.417
29,0.209,0.231,0.243,0.257,0.271,0.307,0.336,0.361,0.382,0.398
30,0.194,0.215,0.227,0.24,0.254,0.289,0.318,0.342,0.363,0.379